@@ Smileys & Emotion
1F5EF;un;right anger bubble
1F4AD;fq;thought balloon
1F4A4;fq;ZZZ
@@ People & Body
1F44B;fq;waving hand
1F44B,1F3FB;fq;waving hand - light skin tone
1F44B,1F3FC;fq;waving hand - medium-light skin tone
1F44B,1F3FD;fq;waving hand - medium skin tone
1F44B,1F3FE;fq;waving hand - medium-dark skin tone
1F44B,1F3FF;fq;waving hand - dark skin tone
1F91A;fq;raised back of hand
1F91A,1F3FB;fq;raised back of hand - light skin tone
1F91A,1F3FC;fq;raised back of hand - medium-light skin tone
1F91A,1F3FD;fq;raised back of hand - medium skin tone
1F91A,1F3FE;fq;raised back of hand - medium-dark skin tone
1F91A,1F3FF;fq;raised back of hand - dark skin tone
1F590,FE0F;fq;hand with fingers splayed
1F590;un;hand with fingers splayed
1F590,1F3FB;fq;hand with fingers splayed - light skin tone
1F590,1F3FC;fq;hand with fingers splayed - medium-light skin tone
1F590,1F3FD;fq;hand with fingers splayed - medium skin tone
1F590,1F3FE;fq;hand with fingers splayed - medium-dark skin tone
1F590,1F3FF;fq;hand with fingers splayed - dark skin tone
270B;fq;raised hand
270B,1F3FB;fq;raised hand - light skin tone
270B,1F3FC;fq;raised hand - medium-light skin tone
270B,1F3FD;fq;raised hand - medium skin tone
270B,1F3FE;fq;raised hand - medium-dark skin tone
270B,1F3FF;fq;raised hand - dark skin tone
1F596;fq;vulcan salute
1F596,1F3FB;fq;vulcan salute - light skin tone
1F596,1F3FC;fq;vulcan salute - medium-light skin tone
1F596,1F3FD;fq;vulcan salute - medium skin tone
1F596,1F3FE;fq;vulcan salute - medium-dark skin tone
1F596,1F3FF;fq;vulcan salute - dark skin tone
1FAF1;fq;rightwards hand
1FAF1,1F3FB;fq;rightwards hand - light skin tone
1FAF1,1F3FC;fq;rightwards hand - medium-light skin tone
1FAF1,1F3FD;fq;rightwards hand - medium skin tone
1FAF1,1F3FE;fq;rightwards hand - medium-dark skin tone
1FAF1,1F3FF;fq;rightwards hand - dark skin tone
1FAF2;fq;leftwards hand
1FAF2,1F3FB;fq;leftwards hand - light skin tone
1FAF2,1F3FC;fq;leftwards hand - medium-light skin tone
1FAF2,1F3FD;fq;leftwards hand - medium skin tone
1FAF2,1F3FE;fq;leftwards hand - medium-dark skin tone
1FAF2,1F3FF;fq;leftwards hand - dark skin tone
1FAF3;fq;palm down hand
1FAF3,1F3FB;fq;palm down hand - light skin tone
1FAF3,1F3FC;fq;palm down hand - medium-light skin tone
1FAF3,1F3FD;fq;palm down hand - medium skin tone
1FAF3,1F3FE;fq;palm down hand - medium-dark skin tone
1FAF3,1F3FF;fq;palm down hand - dark skin tone
1FAF4;fq;palm up hand
1FAF4,1F3FB;fq;palm up hand - light skin tone
1FAF4,1F3FC;fq;palm up hand - medium-light skin tone
1FAF4,1F3FD;fq;palm up hand - medium skin tone
1FAF4,1F3FE;fq;palm up hand - medium-dark skin tone
1FAF4,1F3FF;fq;palm up hand - dark skin tone
1FAF7;fq;leftwards pushing hand
1FAF7,1F3FB;fq;leftwards pushing hand - light skin tone
1FAF7,1F3FC;fq;leftwards pushing hand - medium-light skin tone
1FAF7,1F3FD;fq;leftwards pushing hand - medium skin tone
1FAF7,1F3FE;fq;leftwards pushing hand - medium-dark skin tone
1FAF7,1F3FF;fq;leftwards pushing hand - dark skin tone
1FAF8;fq;rightwards pushing hand
1FAF8,1F3FB;fq;rightwards pushing hand - light skin tone
1FAF8,1F3FC;fq;rightwards pushing hand - medium-light skin tone
