# group: Smileys & Emotion
1F64E;true;person pouting: light skin tone;🙎
1F645;true;person gesturing NO: light skin tone;🙅
1F646;true;person gesturing OK: light skin tone;🙆
1F481;true;person tipping hand: light skin tone;💁
1F64B;true;person raising hand: light skin tone;🙋
1F9CF;true;deaf person: light skin tone;🧏
1F647;true;person bowing: light skin tone;🙇
1F926;true;person facepalming: light skin tone;🤦
1F937;true;person shrugging: light skin tone;🤷
1F46E;true;police officer: light skin tone;👮
1F575;true;detective;🕵
1F482;true;guard: light skin tone;💂
1F977;true;ninja: light skin tone;🥷
1F477;true;construction worker: light skin tone;👷
1FAC5;true;person with crown: light skin tone;🫅
1F934;true;prince: light skin tone;🤴
1F478;true;princess: light skin tone;👸
1F473;true;person wearing turban: light skin tone;👳
1F472;true;person with skullcap: light skin tone;👲
1F9D5;true;woman with headscarf: light skin tone;🧕
1F935;true;person in tuxedo: light skin tone;🤵
1F470;true;person with veil: light skin tone;👰
1F930;true;pregnant woman: light skin tone;🤰
1FAC3;true;pregnant man: light skin tone;🫃
1FAC4;true;pregnant person: light skin tone;🫄
1F931;true;breast-feeding: light skin tone;🤱
1F47C;true;baby angel: light skin tone;👼
1F385;true;Santa Claus: light skin tone;🎅
1F936;true;Mrs. Claus: light skin tone;🤶
1F9B8;true;superhero: light skin tone;🦸
1F9B9;true;supervillain: light skin tone;🦹
1F9D9;true;mage: light skin tone;🧙
1F9DA;true;fairy: light skin tone;🧚
1F9DB;true;vampire: light skin tone;🧛
1F9DC;true;merperson: light skin tone;🧜
1F9DD;true;elf: light skin tone;🧝
1F9DF;false;zombie;🧟
1F486;true;person getting massage;💆
1F487;true;person getting haircut: light skin tone;💇
1F6B6;true;person walking: light skin tone;🚶
1F9CD;true;person standing: light skin tone;🧍
1F9CE;true;person kneeling: light skin tone;🧎
1F3C3;true;person running: light skin tone;🏃
1F483;true;woman dancing: light skin tone;💃
1F57A;true;man dancing: light skin tone;🕺
1F574;true;person in suit levitating;🕴
1F9D6;true;person in steamy room;🧖
1F9D7;true;person climbing: light skin tone;🧗
1F3C7;true;horse racing;🏇
26F7;false;skier;⛷
1F3C2;true;snowboarder: light skin tone;🏂
1F3CC;true;person golfing;🏌
1F3C4;true;person surfing: light skin tone;🏄
1F6A3;true;person rowing boat: light skin tone;🚣
1F3CA;true;person swimming: light skin tone;🏊
26F9;true;person bouncing ball;⛹
1F3CB;true;person lifting weights;🏋
1F6B4;true;person biking: light skin tone;🚴
1F6B5;true;person mountain biking: light skin tone;🚵
1F938;true;person cartwheeling: light skin tone;🤸
1F93D;true;person playing water polo;🤽
1F93E;true;person playing handball: light skin tone;🤾
1F939;true;person juggling: light skin tone;🤹
1F9D8;true;person in lotus position: light skin tone;🧘
1F6C0;true;person taking bath: light skin tone;🛀
1F6CC;true;person in bed: light skin tone;🛌
1F46D;true;women holding hands: light skin tone;👭
1F46B;true;woman and man holding hands: light skin tone;👫
1F46C;true;men holding hands: light skin tone;👬
1F48F;true;kiss: light skin tone;💏
1F491;true;couple with heart: light skin tone;💑
1F5E3;false;speaking head;🗣
1F465;false;busts in silhouette;👥
1F46A;false;family;👪
# group: Animals & Nature
1F400;false;rat;🐀
1F401;false;mouse;🐁
1F402;false;ox;🐂
1F403;false;water buffalo;🐃
1F404;false;cow;🐄
1F405;false;tiger;🐅
1F406;false;leopard;🐆
1F407;false;rabbit;🐇
1F408;false;cat;🐈
1F409;false;dragon;🐉
1F40A;false;crocodile;🐊
1F40B;false;whale;🐋
1F40C;false;snail;🐌
1F40D;false;snake;🐍
1F40E;false;horse;🐎
1F40F;false;ram;🐏
1F410;false;goat;🐐
1F411;false;ewe;🐑
1F412;false;monkey;🐒
1F413;false;rooster;🐓
1F414;false;chicken;🐔
1F415;false;dog;🐕
1F416;false;pig;🐖
1F417;false;boar;🐗
1F418;false;elephant;🐘
1F419;false;octopus;🐙
1F41A;false;spiral shell;🐚
1F41B;false;bug;🐛
1F41C;false;ant;🐜
1F41D;false;honeybee;🐝
1F41E;false;lady beetle;🐞
1F41F;false;fish;🐟
1F420;false;tropical fish;🐠
1F421;false;blowfish;🐡
1F422;false;turtle;🐢
1F423;false;hatching chick;🐣
1F424;false;baby chick;🐤
1F425;false;front-facing baby chick;🐥
1F426;false;bird;🐦
1F427;false;penguin;🐧
1F428;false;koala;🐨
1F429;false;poodle;🐩
1F42A;false;camel;🐪
1F42B;false;bactrian camel;🐫
1F42C;false;dolphin;🐬
1F42D;false;mouse face;🐭
1F42E;false;cow face;🐮
1F42F;false;tiger face;🐯
1F430;false;rabbit face;🐰
1F431;false;cat face;🐱
1F432;false;dragon face;🐲
1F433;false;spouting whale;🐳
1F434;false;horse face;🐴
1F435;false;monkey face;🐵
1F436;false;dog face;🐶
1F437;false;pig face;🐷
1F438;false;frog;🐸
1F439;false;hamster face;🐹
1F43A;false;wolf;🐺
1F43B;false;bear;🐻
1F43C;false;panda;🐼
1F43D;false;pig nose;🐽
1F43E;false;paw prints;🐾
1F43F;false;chipmunk;🐿
1F980;false;crab;🦀
1F981;false;lion face;🦁
1F982;false;lion face;🦂
1F983;false;turkey;🦃
1F984;false;unicorn face;🦄
1F985;false;eagle;🦅
1F986;false;duck;🦆
1F987;false;bat;🦇
1F988;false;shark;🦈
1F989;false;owl;🦉
1F98A;false;fox face;🦊
1F98B;false;butterfly;🦋
1F98C;false;deer;🦌
1F98D;false;gorilla;🦍
1F98E;false;lizard;🦎
1F98F;false;rhinoceros;🦏
1F990;false;shrimp;🦐
1F991;false;shrimp;🦑
1F992;false;giraffe;🦒
1F993;false;zebra;🦓
1F994;false;hedgehog;🦔
1F995;false;sauropod;🦕
1F996;false;T-Rex;🦖
1F997;false;cricket;🦗
1F998;false;kangaroo;🦘
1F999;false;llama;🦙
1F99A;false;peacock;🦚
1F99B;false;hippopotamus;🦛
1F99C;false;parrot;🦜
1F99D;false;raccoon;🦝
1F99E;false;lobster;🦞
1F99F;false;mosquito;🦟
1F9A0;false;microbe;🦠
1F9AE;false;guide dog;🦮
1FACE;false;moose;🫎
1F9AC;false;bison;🦬
1F9A6;false;otter;🦦
1F54A;false;dove;🕊
1FAB6;false;feather;🪶
1FABD;false;wing;🪽
1F9AD;false;seal;🦭
1FABC;false;jellyfish;🪼
1FAB2;false;beetle;🪲
1F577;false;spider;🕷
1F578;false;spider web;🕸
1FAB1;false;worm;🪱
1F490;false;bouquet;💐
1F4AE;false;white flower;💮
1F3F5;false;rosette;🏵
1F940;false;wilted flower;🥀
1F33B;false;sunflower;🌻
1F337;false;tulip;🌷
1F331;false;seedling;🌱
1F332;false;evergreen tree;🌲
1F334;false;palm tree;🌴
1F33E;false;sheaf of rice;🌾
2618;false;shamrock;☘
1F341;false;maple leaf;🍁
1F343;false;leaf fluttering in wind;🍃
1F344;false;mushroom;🍄
1FABA;false;nest with eggs;🪺
# group: Food & Drink
1F347;false;grapes;🍇
1F349;false;watermelon;🍉
1F34B;false;lemon;🍋
1F34D;false;pineapple;🍍
1F34E;false;red apple;🍎
1F350;false;pear;🍐
1F352;false;cherries;🍒
1FAD0;false;blueberries;🫐
1F345;false;tomato;🍅
1F965;false;coconut;🥥
1F346;false;eggplant;🍆
1F955;false;carrot;🥕
1F32D;false;hot dog;🌭
1F32E;false;taco;🌮
1F32F;false;burrito;🌯
1F330;false;chestnut;🌰
1F336;false;hot pepper;🌶
1F952;false;cucumber;🥒
1F966;false;broccoli;🥦
1F9C5;false;onion;🧅
1FAD8;false;beans;🫘
1FADA;false;ginger root;🫚
1F950;false;croissant;🥐
1FAD3;false;flatbread;🫓
1F96F;false;bagel;🥯
1F9C7;false;waffle;🧇
1F354;false;hamburger;🍔
1F355;false;pizza;🍕
1F356;false;meat on bone;🍖
1F357;false;poultry leg;🍗
1F358;false;rice cracker;🍘
1F359;false;rice ball;🍙
1F35A;false;cooked rice;🍚
1F35B;false;curry and rice;🍛
1F35C;false;steaming bowl;🍜
1F35D;false;spaghetti;🍝
1F35E;false;bread;🍞
1F969;false;cut of meat;🥩
1F96A;false;sandwich;🥪
1F32F;false;burrito;🌯
1F959;false;stuffed flatbread;🥙
1F95A;false;egg;🥚
1F958;false;shallow pan of food;🥘
1FAD5;false;fondue;🫕
1F957;false;green salad;🥗
1F9C8;false;butter;🧈
1F96B;false;canned food;🥫
1F360;false;roasted sweet potato;🍠
1F363;false;sushi;🍣
1F365;false;fish cake with swirl;🍥
1F361;false;dango;🍡
1F960;false;fortune cookie;🥠
1F9AA;false;oyster;🦪
1F367;false;shaved ice;🍧
1F369;false;doughnut;🍩
1F382;false;birthday cake;🎂
1F9C1;false;cupcake;🧁
1F36B;false;chocolate bar;🍫
1F36D;false;lollipop;🍭
1F36F;false;honey pot;🍯
1F95B;false;glass of milk;🥛
1FAD6;false;teapot;🫖
1F376;false;sake;🍶
1F377;false;wine glass;🍷
1F379;false;tropical drink;🍹
1F37B;false;clinking beer mugs;🍻
1F943;false;tumbler glass;🥃
1F964;false;cup with straw;🥤
1F9C3;false;beverage box;🧃
1F9CA;false;ice;🧊
1F37D;false;fork and knife with plate;🍽
1F944;false;spoon;🥄
1FAD9;false;jar;🫙
# group: Travel & Places
1F30D;false;globe showing Europe-Africa;🌍
1F30F;false;globe showing Asia-Australia;🌏
1F5FA;false;world map;🗺
1F9ED;false;compass;🧭
1F3D4;false;snow-capped mountain;🏔
26F0;false;mountain;⛰
1F5FB;false;mount fuji;🗻
1F3D5;false;camping;🏕
1F3D6;false;beach with umbrella;🏖
1F3DC;false;desert;🏜
1F3DD;false;desert island;🏝
1F3DE;false;national park;🏞
1F3DF;false;stadium;🏟
1F3DB;false;classical building;🏛
1F3D7;false;building construction;🏗
1FAA8;false;rock;🪨
1F6D6;false;hut;🛖
1F3D8;false;houses;🏘
1F3DA;false;derelict house;🏚
1F3E1;false;house with garden;🏡
1F3E3;false;Japanese post office;🏣
1F3E5;false;hospital;🏥
1F3E8;false;hotel;🏨
1F3EA;false;convenience store;🏪
1F3EC;false;department store;🏬
1F3EF;false;Japanese castle;🏯
1F492;false;wedding;💒
1F5FD;false;Statue of Liberty;🗽
1F54C;false;mosque;🕌
1F54D;false;synagogue;🕍
26E9;false;shinto shrine;⛩
26F2;false;fountain;⛲
1F301;false;foggy;🌁
1F3D9;false;cityscape;🏙
1F305;false;sunrise;🌅
1F307;false;sunset;🌇
2668;false;hot springs;♨
1F6DD;false;playground slide;🛝
1F3A2;false;roller coaster;🎢
1F3AA;false;circus tent;🎪
1F683;false;railway car;🚃
1F685;false;bullet train;🚅
1F687;false;metro;🚇
1F689;false;station;🚉
1F69D;false;monorail;🚝
1F68B;false;tram car;🚋
1F68D;false;oncoming bus;🚍
1F690;false;minibus;🚐
1F692;false;fire engine;🚒
1F694;false;oncoming police car;🚔
1F696;false;oncoming taxi;🚖
1F698;false;oncoming automobile;🚘
1F6FB;false;pickup truck;🛻
1F69B;false;articulated lorry;🚛
1F3CE;false;racing car;🏎
1F3CD;false;motorcycle;🏍
1F9BD;false;manual wheelchair;🦽
1F6FA;false;auto rickshaw;🛺
1F6F4;false;kick scooter;🛴
1F6FC;false;roller skate;🛼
1F6E3;false;motorway;🛣
1F6E4;false;railway track;🛤
1F6E2;false;oil drum;🛢
1F6DE;false;wheel;🛞
1F6A5;false;horizontal traffic light;🚥
1F6D1;false;stop sign;🛑
2693;false;anchor;⚓
26F5;false;sailboat;⛵
1F6A4;false;speedboat;🚤
1F6F3;false;passenger ship;🛳
26F4;false;ferry;⛴
1F6E5;false;motor boat;🛥
2708;false;airplane;✈
1F6E9;false;small airplane;🛩
1F6EC;false;airplane arrival;🛬
1F4BA;false;seat;💺
1F69F;false;suspension railway;🚟
1F6A1;false;aerial tramway;🚡
1F6F0;false;satellite;🛰
1F6F8;false;flying saucer;🛸
1F6CE;false;bellhop bell;🛎
231B;false;hourglass done;⌛
231A;false;watch;⌚
23F1;false;stopwatch;⏱
23F2;false;timer clock;⏲
1F570;false;mantelpiece clock;🕰
1F567;false;twelve-thirty;🕧
1F55C;false;one-thirty;🕜
1F55D;false;two-thirty;🕝
1F55E;false;three-thirty;🕞
1F55F;false;four-thirty;🕟
1F560;false;five-thirty;🕠
1F561;false;six-thirty;🕡
1F562;false;seven-thirty;🕢
1F563;false;eight-thirty;🕣
1F564;false;nine-thirty;🕤
1F565;false;ten-thirty;🕥
1F566;false;eleven-thirty;🕦
1F312;false;waxing crescent moon;🌒
1F314;false;waxing gibbous moon;🌔
1F316;false;waning gibbous moon;🌖
1F318;false;waning crescent moon;🌘
1F31A;false;new moon face;🌚
1F31C;false;last quarter moon face;🌜
1F321;false;thermometer;🌡
2600;false;sun;☀
1F31E;false;sun with face;🌞
2B50;false;star;⭐
1F320;false;shooting star;🌠
1F30C;false;milky way;🌌
2601;false;cloud;☁
26C8;false;cloud with lightning and rain;⛈
1F324;false;sun behind small cloud;🌤
1F325;false;sun behind large cloud;🌥
1F326;false;sun behind rain cloud;🌦
1F327;false;cloud with rain;🌧
1F328;false;cloud with snow;🌨
1F329;false;cloud with lightning;🌩
1F32A;false;tornado;🌪
1F32B;false;fog;🌫
1F32C;false;wind face;🌬
1F308;false;rainbow;🌈
2602;false;umbrella;☂
26F1;false;umbrella on ground;⛱
2744;false;snowflake;❄
2603;false;snowman;☃
2604;false;comet;☄
1F4A7;false;droplet;💧
# group: Activities
1F383;false;jack-o-lantern;🎃
1F386;false;fireworks;🎆
1F9E8;false;firecracker;🧨
1F388;false;balloon;🎈
1F38A;false;confetti ball;🎊
1F38D;false;pine decoration;🎍
1F38F;false;carp streamer;🎏
1F391;false;moon viewing ceremony;🎑
1F380;false;ribbon;🎀
1F397;false;reminder ribbon;🎗
1F39F;false;admission tickets;🎟
1F396;false;military medal;🎖
1F3C5;false;sports medal;🏅
1F948;false;2nd place medal;🥈
26BD;false;soccer ball;⚽
1F94E;false;softball;🥎
1F3D0;false;volleyball;🏐
1F3C9;false;rugby football;🏉
1F94F;false;flying disc;🥏
1F3CF;false;cricket game;🏏
1F3D2;false;ice hockey;🏒
1F3D3;false;ping pong;🏓
1F94A;false;boxing glove;🥊
1F945;false;goal net;🥅
26F8;false;ice skate;⛸
1F93F;false;diving mask;🤿
1F3BF;false;skis;🎿
1F94C;false;curling stone;🥌
1FA80;false;yo-yo;🪀
1F52B;false;water pistol;🔫
1F52E;false;crystal ball;🔮
1F3AE;false;video game;🎮
1F579;false;joystick;🕹
1F3B2;false;game die;🎲
1F9F8;false;teddy bear;🧸
1FAA9;false;mirror ball;🪩
2660;false;spade suit;♠
2665;false;heart suit;♥
2666;false;diamond suit;♦
2663;false;club suit;♣
265F;false;chess pawn;♟
1F004;false;mahjong red dragon;🀄
1F3AD;false;performing arts;🎭
1F5BC;false;framed picture;🖼
1F9F5;false;thread;🧵
1F9F6;false;yarn;🧶
# group: Objects
1F453;false;glasses;👓
1F576;false;sunglasses;🕶
1F97C;false;lab coat;🥼
1F454;false;necktie;👔
1F456;false;jeans;👖
1F9E4;false;gloves;🧤
1F9E6;false;socks;🧦
1F458;false;kimono;👘
1FA71;false;one-piece swimsuit;🩱
1FA73;false;shorts;🩳
1F45A;false;woman’s clothes;👚
1F45B;false;purse;👛
1F45D;false;clutch bag;👝
1F6CD;false;shopping bags;🛍
1FA74;false;thong sandal;🩴
1F45F;false;running shoe;👟
1F97F;false;flat shoe;🥿
